Date,Open,High,Low,Close,Adj Close,Volume
2021-04-02,227.000000,229.199997,226.539993,228.550003,218.807129,11721590
2021-04-05,227.919998,227.919998,224.300003,224.779999,215.197845,21671300
2021-04-06,226.000000,226.550003,221.910004,223.649994,214.115997,34378630
2021-04-07,226.000000,226.009995,220.699997,224.059998,214.508530,28674220
2021-04-08,224.839996,226.300003,222.880005,224.289993,214.728714,18376160
2021-04-09,224.199997,224.300003,221.479996,221.919998,212.459763,19943700
2021-04-12,220.979996,224.250000,219.600006,222.389999,212.909729,28465020
2021-04-13,223.000000,226.000000,221.100006,225.009995,215.418030,28385400
2021-04-14,227.770004,236.580002,229.309998,235.490005,225.451294,88443100
2021-04-15,230.100006,236.350006,228.419998,234.960007,224.943878,60606120
2021-04-16,235.490005,237.449997,232.699997,234.949997,224.934296,44656580
2021-04-19,234.500000,234.899994,230.279999,231.000000,221.152679,37714970
2021-04-20,231.559998,233.169998,229.089996,229.919998,220.118729,41115350
2021-04-21,230.000000,231.800003,228.369995,230.190002,220.377213,33676190
2021-04-22,230.679993,232.149994,227.139999,231.419998,221.554779,58265480
2021-04-23,231.289993,233.300003,230.000000,232.360001,222.454712,34027510
2021-04-26,233.000000,234.910004,232.160004,233.380005,223.431229,27138950
2021-04-27,233.410004,235.139999,231.210007,232.229996,222.330246,27494910
2021-04-28,232.550003,233.240005,230.199997,232.449997,222.540878,35907940
2021-04-29,234.070007,236.179993,229.000000,229.610001,219.821945,52684850
2021-04-30,230.110001,230.759995,228.860001,229.970001,220.166595,29024240
2021-05-04,232.199997,234.300003,230.960007,233.449997,223.498245,36247540
2021-05-05,234.210007,237.750000,233.690002,236.990005,226.887344,34665970
2021-05-06,237.899994,241.110001,237.759995,240.690002,230.429611,44318970
2021-05-07,243.490005,243.990005,240.779999,241.800003,231.492294,34953630
2021-05-10,242.350006,244.300003,240.520004,242.419998,232.085861,30588080
2021-05-11,240.240005,243.169998,239.050003,241.850006,231.540161,33758711
2021-05-12,242.009995,244.419998,241.860001,243.309998,232.937927,29743210
2021-05-13,242.300003,246.800003,242.130005,246.399994,235.896194,60828420
2021-05-14,248.000000,250.399994,247.539993,248.899994,238.289627,47514310
2021-05-17,250.000000,252.979996,249.520004,252.789993,242.013794,36152420
2021-05-18,256.100006,258.649994,255.820007,256.609985,245.670944,51303330
2021-05-19,263.899994,264.200012,256.000000,259.559998,248.495193,81527850
2021-05-20,260.799988,262.779999,256.899994,258.750000,247.719727,43486350
2021-05-21,260.040009,260.700012,257.119995,258.369995,247.355927,26994320
2021-05-24,258.579987,259.899994,257.119995,259.790009,248.715408,21658620
2021-05-25,262.309998,262.720001,258.309998,260.160004,249.069626,29265380
2021-05-26,260.519989,262.299988,260.010010,262.179993,251.003510,31295300
2021-05-27,261.980011,263.179993,261.220001,262.839996,251.635376,53993100
2021-05-28,263.790009,265.929993,261.350006,262.299988,251.118378,32655610
2021-05-31,261.000000,261.239990,259.570007,260.619995,249.510010,20310140
2021-06-01,261.970001,264.750000,261.579987,263.920013,252.669357,31124360
2021-06-02,264.049988,270.950012,263.549988,270.940002,259.390076,48880090
2021-06-03,272.309998,274.299988,268.200012,272.260010,260.653809,50098070
2021-06-04,271.989990,276.220001,269.589996,273.769989,262.099426,51511000
2021-06-07,274.010010,276.700012,273.850006,275.279999,263.545074,33032640
2021-06-08,275.350006,277.579987,272.910004,274.149994,262.463226,50129520
2021-06-09,275.980011,276.390015,273.760010,275.989990,264.224792,26301490
2021-06-10,275.489990,277.769989,274.320007,275.799988,264.042908,34383380
2021-06-11,276.250000,278.000000,274.859985,276.540009,264.751373,24149410
2021-06-14,277.559998,280.450012,277.220001,279.579987,267.661743,26160960
2021-06-15,279.920013,280.109985,272.730011,273.790009,262.118591,48692780
2021-06-16,272.899994,275.230011,270.119995,273.200012,261.553741,59676480
2021-06-17,270.899994,273.890015,269.119995,272.380005,260.768707,40104531
2021-06-18,271.540009,273.179993,268.649994,271.399994,259.830475,50152990
2021-06-21,269.690002,271.450012,268.089996,271.279999,259.715576,25373600
2021-06-22,273.500000,276.350006,272.890015,275.779999,264.023743,33995620
2021-06-23,277.890015,279.549988,276.700012,277.769989,265.928925,32250280
2021-06-24,278.200012,279.470001,275.500000,276.890015,265.086456,40921740
2021-06-25,277.799988,277.869995,276.119995,277.220001,265.402374,28673891
2021-06-28,277.220001,279.609985,276.899994,277.480011,265.651306,25641510
2021-06-29,276.119995,277.500000,273.170013,276.070007,264.301392,36361820
2021-06-30,277.269989,281.769989,276.500000,281.170013,269.183990,58505740
2021-07-01,281.850006,286.250000,281.850006,283.890015,271.788055,48158211
2021-07-02,285.589996,286.190002,282.799988,285.700012,273.520874,28348700
2021-07-05,286.000000,289.450012,285.799988,288.820007,276.507874,29405710
2021-07-06,292.079987,295.970001,291.339996,294.640015,282.079773,75567980
2021-07-07,293.890015,297.100006,293.470001,296.890015,284.233887,63848630
2021-07-08,296.450012,296.750000,290.329987,291.899994,279.456573,50580770
2021-07-09,293.500000,295.579987,292.000000,294.579987,282.022308,38857550
2021-07-12,295.510010,298.480011,294.899994,297.100006,284.434906,41152270
2021-07-13,297.750000,297.750000,293.000000,294.399994,281.850006,44786020
2021-07-14,282.890015,286.929993,282.890015,285.040009,285.040009,51359910
2021-07-15,284.579987,285.109985,278.959991,280.429993,280.429993,40110690
2021-07-16,279.220001,282.000000,278.000000,279.220001,279.220001,26212390
2021-07-19,277.109985,279.339996,273.149994,274.609985,274.609985,39389430
2021-07-20,276.779999,278.679993,273.100006,275.700012,275.700012,28352025
2021-07-21,277.320007,279.980011,276.000000,278.709991,278.709991,29811150
2021-07-22,283.500000,285.040009,281.209991,283.149994,283.149994,38374290
2021-07-23,283.200012,285.000000,279.049988,279.730011,279.730011,36723530
2021-07-26,277.369995,280.489990,276.700012,280.089996,280.089996,25228151
2021-07-27,280.179993,280.829987,276.839996,277.660004,277.660004,26894580
2021-07-28,277.880005,282.700012,277.700012,282.470001,282.470001,30175685
2021-07-29,283.970001,287.570007,283.579987,287.440002,287.440002,38990770
2021-07-30,285.019989,286.000000,283.279999,285.100006,285.100006,41157503
2021-08-02,287.880005,289.480011,285.209991,286.149994,286.149994,36298210
2021-08-03,286.750000,288.049988,284.339996,286.899994,286.899994,25603790
2021-08-04,287.880005,288.799988,286.000000,288.660004,288.660004,21802131
2021-08-05,287.329987,288.279999,285.160004,287.609985,287.609985,42494179
2021-08-06,285.260010,285.579987,277.869995,282.079987,282.079987,87911574
2021-08-09,282.250000,287.899994,280.799988,287.100006,287.100006,67078481
2021-08-10,288.000000,288.799988,285.700012,287.989990,287.989990,27593520
2021-08-11,288.970001,291.489990,287.119995,289.880005,289.880005,35164563
2021-08-12,290.260010,293.809998,290.250000,292.640015,292.640015,36195360
2021-08-13,292.700012,293.899994,291.750000,292.750000,292.750000,21023562
2021-08-16,291.470001,295.480011,290.950012,294.869995,294.869995,30909221
2021-08-17,295.000000,299.500000,294.709991,298.220001,298.220001,39767160
2021-08-18,299.000000,299.950012,296.500000,298.350006,298.350006,31731140
2021-08-19,293.459991,293.559998,289.679993,292.850006,292.850006,51828350
2021-08-20,293.799988,294.899994,289.500000,292.790009,292.790009,36598680
2021-08-23,294.700012,297.940002,294.100006,297.609985,297.609985,36659760
2021-08-24,297.649994,301.000000,295.950012,298.309998,298.309998,47786840
2021-08-25,298.700012,299.179993,294.369995,297.100006,297.100006,29259972
2021-08-26,296.000000,296.000000,293.040009,295.100006,295.100006,22801740
2021-08-27,295.799988,298.970001,294.809998,298.899994,298.899994,28456591
2021-08-30,301.700012,305.500000,299.980011,304.140015,304.140015,64070255
2021-08-31,305.829987,307.670013,304.100006,305.799988,305.799988,61010050
2021-09-01,306.600006,311.859985,306.209991,311.730011,311.730011,72451901
2021-09-02,313.589996,314.799988,310.299988,314.059998,314.059998,50077781
2021-09-03,312.700012,317.899994,311.160004,317.709991,317.709991,60418630
2021-09-06,319.000000,325.980011,318.600006,325.950012,325.950012,68075281
2021-09-07,329.929993,333.000000,325.760010,327.809998,327.809998,68403933
2021-09-08,328.489990,328.489990,322.220001,326.390015,326.390015,53911840
2021-09-09,326.000000,328.140015,323.500000,326.799988,326.799988,36615090
2021-09-10,327.000000,330.000000,325.500000,327.339996,327.339996,38076000
2021-09-13,328.000000,331.850006,327.299988,331.769989,331.769989,51064065
2021-09-14,333.100006,339.920013,332.359985,338.859985,338.859985,92124730
2021-09-15,339.390015,344.200012,337.720001,342.239990,342.239990,103571593
2021-09-16,342.000000,342.989990,337.480011,339.000000,339.000000,91010881
2021-09-17,338.720001,339.239990,333.299988,335.820007,335.820007,58241213
2021-09-20,329.720001,332.000000,325.100006,325.600006,325.600006,57523170
2021-09-21,328.700012,336.779999,328.609985,336.369995,336.369995,69782264
2021-09-22,338.399994,340.700012,337.399994,338.250000,338.250000,53455541
2021-09-23,342.000000,345.200012,339.429993,343.320007,343.320007,60839571
2021-09-24,343.600006,344.899994,340.000000,344.299988,344.299988,37250671
2021-09-27,347.950012,352.750000,347.000000,352.500000,352.500000,72489610
2021-09-28,359.000000,361.799988,355.549988,357.929993,357.929993,86009360
2021-09-29,354.049988,359.859985,352.309998,358.100006,358.100006,53968116
2021-09-30,363.250000,364.529999,359.529999,360.000000,360.000000,65771171
2021-10-01,358.450012,362.980011,356.000000,361.160004,361.160004,42855820
